Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
428435.519,4586389.606,2.14243625,41.42403288
428435.519,4586389.606,2.14243625,41.42403288
433752.23,4588498.691,2.20582592,41.44348507
433752.23,4588498.691,2.20582592,41.44348507
431076.4,4583988.834,2.17431112,41.40264096
431076.4,4583988.834,2.17431112,41.40264096
427429.536,4585230.89,2.13053768,41.41350654
427429.536,4585230.89,2.13053768,41.41350654
427429.536,4585230.89,2.13053768,41.41350654
433925.278,4588192.736,2.20793076,41.44074369
433925.278,4588192.736,2.20793076,41.44074369
433925.278,4588192.736,2.20793076,41.44074369
433925.278,4588192.736,2.20793076,41.44074369
430974.785,4583328.332,2.17317091,41.3966833
430974.785,4583328.332,2.17317091,41.3966833
430974.785,4583328.332,2.17317091,41.3966833
429735.285,4582301.519,2.15846428,41.38732773
429735.285,4582301.519,2.15846428,41.38732773
429735.285,4582301.519,2.15846428,41.38732773
430993.997,4584846.26,2.17322757,41.41035644
430993.997,4584846.26,2.17322757,41.41035644
430316.254,4580904.024,2.16557312,41.37479148
430316.254,4580904.024,2.16557312,41.37479148
431950.934,4586153.398,2.18452894,41.42221106
431950.934,4586153.398,2.18452894,41.42221106
429707.144,4582347.749,2.15812236,41.38774165
429707.144,4582347.749,2.15812236,41.38774165
432506.936,4588502.105,2.19091958,41.44341202
432506.936,4588502.105,2.19091958,41.44341202
432751.326,4586786.738,2.19403587,41.42798279
432751.326,4586786.738,2.19403587,41.42798279
429949.381,4578885.898,2.16141961,41.35658293
429949.381,4578885.898,2.16141961,41.35658293
429949.381,4578885.898,2.16141961,41.35658293
429949.381,4578885.898,2.16141961,41.35658293
430510.011,4584000.073,2.16753454,41.4026934
430510.011,4584000.073,2.16753454,41.4026934
430510.011,4584000.073,2.16753454,41.4026934
427104.449,4580606.369,2.12720523,41.37182594
427104.449,4580606.369,2.12720523,41.37182594
427206.997,4582445.169,2.12821035,41.38839659
427206.997,4582445.169,2.12821035,41.38839659
431819.482,4588861.718,2.1826503,41.44659281
431819.482,4588861.718,2.1826503,41.44659281
431724.231,4588823.719,2.1815144,41.44624247
431724.231,4588823.719,2.1815144,41.44624247
430852.9,4587787.122,2.17120305,41.43683161
427182.434,4582398.224,2.12792223,41.38797155
427182.434,4582398.224,2.12792223,41.38797155
428294.964,4580274.972,2.14147883,41.36894816
428294.964,4580274.972,2.14147883,41.36894816
426396.342,4584242.916,2.11829669,41.4045143
426396.342,4584242.916,2.11829669,41.4045143
426396.342,4584242.916,2.11829669,41.4045143
426396.342,4584242.916,2.11829669,41.4045143
426396.342,4584242.916,2.11829669,41.4045143
429380.435,4584706.193,2.15393985,41.40895468
429380.435,4584706.193,2.15393985,41.40895468
429380.435,4584706.193,2.15393985,41.40895468
